ticker,ticker_eodhd,close,rv_current,rv_percentile,rv_52w_max,expansion_ratio,tier,rv_short,term_structure,dollar_volume_30d,last_date,rank_expansion,rank_vol_band,borda_score,borda_rank,is_candidate,is_new,days_as_candidate
JNJ,JNJ.US,263.4,33.88,100.0,33.88,1.0,INSUFFICIENT,37.87,1.118,2263457678,2026-07-08,1.0,24.0,13.0,1,True,True,1
LOW,LOW.US,212.85,35.59,97.2,36.87,1.04,INSUFFICIENT,37.46,1.053,649301962,2026-07-08,14.0,12.0,20.0,2,True,True,1
MCD,MCD.US,278.25,32.11,100.0,32.11,1.0,INSUFFICIENT,33.78,1.052,1334982953,2026-07-08,1.0,57.0,29.5,3,True,True,1
PGR,PGR.US,232.9,33.04,98.8,34.14,1.03,INSUFFICIENT,28.04,0.849,850245817,2026-07-08,13.0,36.0,31.0,4,True,True,1
AMT,AMT.US,165.04,38.76,100.0,38.76,1.0,INSUFFICIENT,26.99,0.696,581974165,2026-07-08,1.0,63.0,32.5,5,True,True,1
BMY,BMY.US,57.54,35.12,92.1,39.43,1.12,INSUFFICIENT,45.14,1.285,762719013,2026-07-08,34.0,3.0,35.5,6,True,True,1
HD,HD.US,336.21,36.56,96.4,39.27,1.07,INSUFFICIENT,28.92,0.791,1767744326,2026-07-08,27.0,23.0,38.5,7,True,True,1
T,T.US,21.12,38.11,99.6,39.64,1.04,INSUFFICIENT,20.37,0.534,1388830995,2026-07-08,16.0,50.0,41.0,8,True,True,1
TJX,TJX.US,152.79,32.6,99.2,34.12,1.05,INSUFFICIENT,26.71,0.819,967791178,2026-07-08,20.0,44.0,42.0,9,True,True,1
MDT,MDT.US,82.01,35.93,94.8,40.91,1.14,INSUFFICIENT,41.18,1.146,924378375,2026-07-08,35.0,14.0,42.0,10,False,False,0
DLR,DLR.US,176.3,34.06,98.0,37.63,1.1,INSUFFICIENT,20.73,0.609,595730740,2026-07-08,33.0,22.0,44.0,11,False,False,0
BP,BP.US,39.21,35.04,89.7,43.43,1.24,INSUFFICIENT,37.22,1.062,420180458,2026-07-08,50.0,4.0,52.0,12,False,False,0
LHX,LHX.US,293.44,37.97,93.7,41.44,1.09,INSUFFICIENT,31.23,0.822,418861352,2026-07-08,29.0,47.0,52.5,13,False,False,0
CME,CME.US,243.07,40.4,98.8,41.31,1.02,INSUFFICIENT,31.22,0.773,1044188759,2026-07-08,9.0,89.0,53.5,14,False,False,0
ADP,ADP.US,241.37,35.85,91.3,43.9,1.22,INSUFFICIENT,45.76,1.277,690564397,2026-07-08,49.0,13.0,55.5,15,False,False,0
AAPL,AAPL.US,313.39,40.95,98.8,41.85,1.02,INSUFFICIENT,31.18,0.762,19617292101,2026-07-08,8.0,97.0,56.5,16,False,False,0
NUE,NUE.US,226.68,37.8,93.3,44.39,1.17,INSUFFICIENT,21.6,0.571,410983738,2026-07-08,41.0,40.0,61.0,17,False,False,0
SYK,SYK.US,326.85,40.95,96.8,42.47,1.04,INSUFFICIENT,33.42,0.816,903831855,2026-07-08,15.0,98.0,64.0,18,False,False,0
MDLZ,MDLZ.US,59.48,31.78,94.4,36.35,1.14,INSUFFICIENT,39.55,1.245,569039789,2026-07-08,36.0,61.0,66.5,19,False,False,0
MET,MET.US,90.1,32.18,94.8,37.19,1.16,INSUFFICIENT,32.29,1.003,347264204,2026-07-08,39.0,56.0,67.0,20,False,False,0
BDX,BDX.US,150.56,38.23,89.7,44.8,1.17,INSUFFICIENT,42.72,1.117,417487167,2026-07-08,40.0,55.0,67.5,21,False,False,0
ABBV,ABBV.US,252.74,40.89,99.6,43.13,1.05,INSUFFICIENT,37.11,0.908,2014430429,2026-07-08,23.0,95.0,70.5,22,False,False,0
TMUS,TMUS.US,180.14,39.92,96.4,43.92,1.1,INSUFFICIENT,36.05,0.903,1081389667,2026-07-08,32.0,81.0,72.5,23,False,False,0
MRK,MRK.US,125.99,34.99,89.3,46.43,1.33,INSUFFICIENT,42.4,1.212,1492174467,2026-07-08,70.0,6.0,73.0,24,False,False,0
HSY,HSY.US,174.41,41.45,92.5,43.38,1.05,INSUFFICIENT,30.86,0.744,394181332,2026-07-08,21.0,106.0,74.0,25,False,False,0
NOC,NOC.US,545.11,40.4,94.0,44.28,1.1,INSUFFICIENT,39.88,0.987,593402331,2026-07-08,31.0,88.0,75.0,26,False,False,0
DUK,DUK.US,126.79,24.68,100.0,24.68,1.0,INSUFFICIENT,37.12,1.504,472518969,2026-07-08,1.0,149.0,75.5,27,False,False,0
CB,CB.US,355.09,26.66,96.0,27.35,1.03,INSUFFICIENT,33.06,1.24,635810566,2026-07-08,10.0,131.0,75.5,28,False,False,0
GILD,GILD.US,135.82,33.86,86.5,43.66,1.29,INSUFFICIENT,46.39,1.37,1237899006,2026-07-08,63.0,25.0,75.5,29,False,False,0
STZ,STZ.US,130.34,35.5,77.4,47.25,1.33,INSUFFICIENT,37.07,1.044,326849582,2026-07-08,72.0,9.0,76.5,30,False,False,0
PAYX,PAYX.US,106.58,37.33,94.0,47.72,1.28,INSUFFICIENT,41.67,1.116,385706941,2026-07-08,60.0,34.0,77.0,31,False,False,0
SHW,SHW.US,330.57,31.86,88.1,38.87,1.22,INSUFFICIENT,32.97,1.035,881996362,2026-07-08,48.0,60.0,78.0,32,False,False,0
PG,PG.US,148.4,27.75,98.0,29.06,1.05,INSUFFICIENT,37.72,1.359,1400897088,2026-07-08,22.0,116.0,80.0,33,False,False,0
SPG,SPG.US,219.09,27.15,98.8,28.3,1.04,INSUFFICIENT,31.18,1.148,530189920,2026-07-08,18.0,125.0,80.5,34,False,False,0
PLD,PLD.US,141.0,30.8,94.0,36.44,1.18,INSUFFICIENT,26.11,0.848,570945641,2026-07-08,46.0,76.0,84.0,35,False,False,0
GOOG,GOOG.US,358.71,37.96,82.5,48.52,1.28,INSUFFICIENT,24.13,0.636,9166301880,2026-07-08,61.0,46.0,84.0,36,False,False,0
ORLY,ORLY.US,84.98,43.01,99.2,45.94,1.07,INSUFFICIENT,58.25,1.354,749848277,2026-07-08,25.0,120.0,85.0,37,False,False,0
AZN,AZN.US,189.28,37.84,94.4,48.99,1.29,INSUFFICIENT,60.53,1.6,384350302,2026-07-08,64.0,42.0,85.0,38,False,False,0
TGT,TGT.US,132.42,47.73,100.0,47.73,1.0,INSUFFICIENT,39.94,0.837,630525758,2026-07-08,1.0,170.0,86.0,39,False,False,0
PEP,PEP.US,142.51,32.08,94.4,40.89,1.27,INSUFFICIENT,36.77,1.146,1382319448,2026-07-08,57.0,58.0,86.0,40,False,False,0
DPZ,DPZ.US,302.35,46.37,98.8,47.85,1.03,INSUFFICIENT,46.0,0.992,271471871,2026-07-08,11.0,154.0,88.0,41,False,False,0
ICE,ICE.US,137.17,41.44,94.8,47.6,1.15,INSUFFICIENT,27.35,0.66,727438883,2026-07-08,38.0,104.0,90.0,42,False,False,0
AON,AON.US,357.51,36.81,93.7,51.48,1.4,INSUFFICIENT,33.63,0.914,616426119,2026-07-08,79.0,28.0,93.0,43,False,False,0
COP,COP.US,110.72,32.27,68.3,42.28,1.31,INSUFFICIENT,36.59,1.134,869086166,2026-07-08,67.0,53.0,93.5,44,False,False,0
DHR,DHR.US,190.77,34.07,87.7,48.43,1.42,INSUFFICIENT,31.3,0.919,808164649,2026-07-08,84.0,20.0,94.0,45,False,False,0
VZ,VZ.US,42.45,35.49,92.9,51.24,1.44,INSUFFICIENT,18.53,0.522,1335538411,2026-07-08,90.0,8.0,94.0,46,False,False,0
FANG,FANG.US,186.6,32.74,65.9,45.12,1.38,INSUFFICIENT,39.16,1.196,503097702,2026-07-08,76.0,38.0,95.0,47,False,False,0
PSX,PSX.US,187.81,33.27,74.6,46.61,1.4,INSUFFICIENT,29.75,0.894,485701420,2026-07-08,80.0,32.0,96.0,48,False,False,0
AZO,AZO.US,3070.17,44.59,95.6,48.38,1.08,INSUFFICIENT,61.09,1.37,1540946825,2026-07-08,28.0,137.0,96.5,49,False,False,0
JCI,JCI.US,140.23,41.67,90.5,49.06,1.18,INSUFFICIENT,24.63,0.591,674678675,2026-07-08,44.0,108.0,98.0,50,False,False,0
HON,HON.US,220.36,40.03,93.7,50.98,1.27,INSUFFICIENT,39.93,0.998,1262135288,2026-07-08,56.0,85.0,98.5,51,False,False,0
GIS,GIS.US,36.33,52.07,100.0,52.07,1.0,INSUFFICIENT,75.6,1.452,411947323,2026-07-08,1.0,196.0,99.0,52,False,False,0
LIN,LIN.US,527.67,23.46,93.3,24.41,1.04,INSUFFICIENT,34.05,1.452,1356932304,2026-07-08,17.0,164.0,99.0,53,False,False,0
BIIB,BIIB.US,200.36,42.93,86.5,50.52,1.18,INSUFFICIENT,42.1,0.98,234305352,2026-07-08,43.0,118.0,102.0,54,False,False,0
FIS,FIS.US,40.84,38.75,77.4,51.49,1.33,INSUFFICIENT,58.19,1.502,270343691,2026-07-08,71.0,62.0,102.0,55,False,False,0
O,O.US,63.23,23.85,98.0,25.29,1.06,INSUFFICIENT,29.46,1.235,411352987,2026-07-08,24.0,159.0,103.5,56,False,False,0
LMT,LMT.US,527.96,39.39,93.3,51.65,1.31,INSUFFICIENT,41.91,1.064,700731742,2026-07-08,68.0,73.0,104.5,57,False,False,0
MPC,MPC.US,280.68,33.29,52.8,48.0,1.44,INSUFFICIENT,39.6,1.189,688921323,2026-07-08,89.0,31.0,104.5,58,False,False,0
APD,APD.US,296.75,46.26,94.8,50.56,1.09,INSUFFICIENT,52.05,1.125,444530422,2026-07-08,30.0,151.0,105.5,59,False,False,0
NDAQ,NDAQ.US,84.39,49.46,97.6,51.09,1.03,INSUFFICIENT,43.8,0.885,379495428,2026-07-08,12.0,188.0,106.0,60,False,False,0
OXY,OXY.US,53.59,37.84,67.9,53.8,1.42,INSUFFICIENT,45.06,1.191,556449641,2026-07-08,85.0,43.0,106.5,61,False,False,0
MKC,MKC.US,51.57,41.76,88.5,52.89,1.27,INSUFFICIENT,43.27,1.036,256898705,2026-07-08,53.0,109.0,107.5,62,False,False,0
FDX,FDX.US,309.76,36.21,86.5,53.93,1.49,INSUFFICIENT,13.23,0.365,715018296,2026-07-08,100.0,17.0,108.5,63,False,False,0
EOG,EOG.US,137.59,28.56,58.3,36.31,1.27,INSUFFICIENT,33.78,1.183,548364674,2026-07-08,55.0,111.0,110.5,64,False,False,0
BX,BX.US,118.62,37.36,64.3,54.83,1.47,INSUFFICIENT,33.34,0.892,640278942,2026-07-08,93.0,35.0,110.5,65,False,False,0
CAT,CAT.US,948.08,62.55,99.6,62.67,1.0,INSUFFICIENT,52.14,0.834,3439076801,2026-07-08,7.0,208.0,111.0,66,False,False,0
VLO,VLO.US,282.88,42.33,82.9,54.0,1.28,INSUFFICIENT,49.16,1.161,875750512,2026-07-08,58.0,112.0,114.0,67,False,False,0
WM,WM.US,233.94,25.87,91.3,30.98,1.2,INSUFFICIENT,33.78,1.306,561803822,2026-07-08,47.0,136.0,115.0,68,False,False,0
MA,MA.US,518.12,26.74,78.6,33.72,1.26,INSUFFICIENT,35.61,1.331,2151095867,2026-07-08,52.0,129.0,116.5,69,False,False,0
NVDA,NVDA.US,204.12,34.07,48.0,53.21,1.56,LOW,32.0,0.939,33221357448,2026-07-08,106.0,21.0,116.5,70,False,False,0
AMZN,AMZN.US,243.62,38.11,82.9,55.4,1.45,INSUFFICIENT,13.78,0.362,13787231795,2026-07-08,92.0,51.0,117.5,71,False,False,0
SLB,SLB.US,47.43,36.79,73.0,56.8,1.54,LOW,32.9,0.894,778421476,2026-07-08,104.0,27.0,117.5,72,False,False,0
LEN,LEN.US,83.59,46.34,84.1,54.43,1.17,INSUFFICIENT,34.82,0.752,240974191,2026-07-08,42.0,152.0,118.0,73,False,False,0
CVX,CVX.US,175.97,27.17,83.3,34.69,1.28,INSUFFICIENT,26.17,0.963,1714403439,2026-07-08,59.0,124.0,121.0,74,False,False,0
DE,DE.US,596.74,39.12,86.1,56.31,1.44,INSUFFICIENT,41.28,1.055,876396413,2026-07-08,87.0,69.0,121.5,75,False,False,0
GD,GD.US,374.31,29.45,87.3,39.2,1.33,INSUFFICIENT,26.34,0.894,492276292,2026-07-08,73.0,99.0,122.5,76,False,False,0
CCI,CCI.US,76.9,44.76,94.4,56.72,1.27,INSUFFICIENT,30.61,0.684,353432564,2026-07-08,54.0,138.0,123.0,77,False,False,0
ADI,ADI.US,385.4,62.83,97.2,65.65,1.04,INSUFFICIENT,43.93,0.699,2111365083,2026-07-08,19.0,209.0,123.5,78,False,False,0
ADSK,ADSK.US,206.04,39.99,67.5,56.08,1.4,INSUFFICIENT,43.1,1.078,685356030,2026-07-08,82.0,83.0,123.5,79,False,False,0
CLX,CLX.US,93.91,38.19,88.1,56.73,1.49,INSUFFICIENT,30.42,0.797,238995603,2026-07-08,98.0,54.0,125.0,80,False,False,0
MS,MS.US,218.07,32.4,83.7,48.87,1.51,LOW,32.21,0.994,1351449732,2026-07-08,102.0,49.0,126.5,81,False,False,0
SCHW,SCHW.US,101.7,31.51,85.7,46.45,1.47,INSUFFICIENT,27.21,0.864,1259682235,2026-07-08,95.0,64.0,127.0,82,False,False,0
ETN,ETN.US,399.56,58.96,97.6,63.02,1.07,INSUFFICIENT,54.88,0.931,998584760,2026-07-08,26.0,204.0,128.0,83,False,False,0
WMT,WMT.US,113.1,29.2,81.0,40.36,1.38,INSUFFICIENT,41.39,1.418,2883602003,2026-07-08,78.0,100.0,128.0,84,False,False,0
MSFT,MSFT.US,383.34,42.68,92.1,58.95,1.38,INSUFFICIENT,28.81,0.675,17666452843,2026-07-08,77.0,115.0,134.5,85,False,False,0
PAYC,PAYC.US,138.5,48.59,80.6,57.45,1.18,INSUFFICIENT,60.63,1.248,141666424,2026-07-08,45.0,180.0,135.0,86,False,False,0
KO,KO.US,83.4,22.94,89.7,28.45,1.24,INSUFFICIENT,30.57,1.333,1643301924,2026-07-08,51.0,168.0,135.0,87,False,False,0
PANW,PANW.US,320.59,59.28,93.7,67.79,1.14,INSUFFICIENT,66.81,1.127,2843845242,2026-07-08,37.0,205.0,139.5,88,False,False,0
PSA,PSA.US,320.77,25.47,73.0,33.54,1.32,INSUFFICIENT,32.86,1.29,308992566,2026-07-08,69.0,141.0,139.5,89,False,False,0
AIG,AIG.US,79.62,28.02,77.0,39.52,1.41,INSUFFICIENT,33.53,1.197,346657184,2026-07-08,83.0,113.0,139.5,90,False,False,0
ISRG,ISRG.US,415.1,36.36,81.0,62.0,1.71,LOW,51.95,1.429,1081027385,2026-07-08,131.0,19.0,140.5,91,False,False,0
QRVO,QRVO.US,83.87,35.2,57.5,63.4,1.8,LOW,19.12,0.543,116025031,2026-07-08,141.0,1.0,141.5,92,False,False,0
ALL,ALL.US,251.17,26.94,72.6,37.75,1.4,INSUFFICIENT,24.44,0.907,463924570,2026-07-08,81.0,126.0,144.0,93,False,False,0
BKNG,BKNG.US,174.29,45.7,84.1,60.93,1.33,INSUFFICIENT,42.39,0.928,1473273614,2026-07-08,74.0,147.0,147.5,94,False,False,0
OKE,OKE.US,91.16,27.28,55.6,38.8,1.42,INSUFFICIENT,32.79,1.202,354854649,2026-07-08,86.0,123.0,147.5,95,False,False,0
SO,SO.US,96.38,22.55,89.7,29.3,1.3,INSUFFICIENT,31.71,1.407,640243187,2026-07-08,65.0,174.0,152.0,96,False,False,0
HAL,HAL.US,34.97,34.9,61.1,64.68,1.85,LOW,38.52,1.104,436794100,2026-07-08,148.0,10.0,153.0,97,False,False,0
APA,APA.US,35.06,36.29,14.7,66.65,1.84,LOW,41.4,1.141,195089647,2026-07-08,145.0,18.0,154.0,98,False,False,0
